channel,freq_hz,n_day,n_night,t_stat,p_value,power
61,52.0,17,14,3.0731670515601803,0.00618353325482688,0.7795276071073186
61,39.0,17,14,3.061860914114506,0.006254578263914736,0.7777830592432469
1,42.0,17,14,3.0917967618532765,0.0063759978454199576,0.7784774372054603
61,53.0,17,14,3.0445152962572557,0.006576224415354166,0.7721359593623204
1,52.0,17,14,3.089105812936657,0.00664156661270393,0.7750622064187019
61,54.0,17,14,3.01335459089967,0.007037139437315868,0.7638631695871131
61,38.0,17,14,3.00332113819561,0.00710837220075961,0.7623023412274642
1,41.0,17,14,3.0358346574645236,0.0071767212417576795,0.7638161021047505
1,53.0,17,14,3.0531854360024426,0.007180413546146599,0.7654063635096282
8,79.0,17,14,2.9895812741736507,0.0071979061273798545,0.7603538361329499
8,78.0,17,14,2.9807187441932617,0.007328002116037125,0.7581084453684647
8,77.0,17,14,2.9711319099194395,0.007467704600448567,0.755720896886953
61,55.0,17,14,2.980500853880704,0.007564552202076553,0.7548711478565165
8,76.0,17,14,2.9621124845554134,0.0075984459614818044,0.7535104304490853
8,75.0,17,14,2.953704357885669,0.007719868832247149,0.7514795604964261
1,54.0,17,14,3.017702227455208,0.007752108939320205,0.7556696884894805
8,74.0,17,14,2.9448018114040195,0.007850227048415242,0.7493290287792015
61,37.0,17,14,2.9494261423067205,0.00796811446558919,0.7478941925579861
8,73.0,17,14,2.9338926292541436,0.00801577414379064,0.7466478158087964
15,36.0,17,14,2.8657029109534626,0.008140744418932686,0.7485349201028988
61,56.0,17,14,2.946840842944627,0.00815133665810789,0.7453866677000346
1,40.0,17,14,2.9758921377688288,0.00816010981807044,0.7473637883820148
8,72.0,17,14,2.9198504162503776,0.008238430966971548,0.7431221553239468
1,55.0,17,14,2.985092322493993,0.008314639355403223,0.7465497196574497
8,71.0,17,14,2.9023721180401605,0.008528105323826618,0.7386571568172164
61,36.0,17,14,2.9020002802752254,0.00877401260972361,0.7353096537194042
61,57.0,17,14,2.9131856819283453,0.008786684527335038,0.7356553969066967
1,56.0,17,14,2.9579122690214223,0.00881226807566255,0.7388269183098615
8,70.0,17,14,2.8820316034762654,0.008880058047378408,0.7334000498844636
28,34.0,17,14,2.922081514035827,0.008940732218395815,0.7344162426100235
39,50.0,17,14,2.855569783416723,0.008984402976002568,0.732256257955368
39,51.0,17,14,2.857250000765666,0.008987522802752303,0.7321278664835452
28,33.0,17,14,2.908851309745316,0.009035559877867326,0.7324493571853565
39,49.0,17,14,2.8464442764587705,0.00914514094561974,0.7300440478057619
1,57.0,17,14,2.9374530541744313,0.009204488125140776,0.7329476977971165
28,35.0,17,14,2.9127194831832535,0.009263387109494058,0.7301892543642252
8,69.0,17,14,2.8600317026268907,0.009276864992438693,0.7276779545162937
39,52.0,17,14,2.844544119163381,0.00929424171050806,0.7277020138419662
1,39.0,17,14,2.9126732293329343,0.009350641964320875,0.7292633821835792
39,48.0,17,14,2.835417300993545,0.009361434566154328,0.7270653614852828
61,58.0,17,14,2.880518054323816,0.009451863406223414,0.7259941570978922
1,58.0,17,14,2.922896849017748,0.00949253043312536,0.7287368203884778
61,35.0,17,14,2.859713763164206,0.009521739537748604,0.724364793699836
8,34.0,17,14,2.871948827719709,0.009551871669001686,0.7244022236200888
39,47.0,17,14,2.8247355262902296,0.009584666525380689,0.7240196506026451
28,32.0,17,14,2.8695176962649103,0.009646425661015593,0.7231705401348785
8,33.0,17,14,2.86316227637122,0.009656344280583646,0.7227821504886062
8,68.0,17,14,2.8376846837933094,0.009696232488331567,0.7218534944371767
1,59.0,17,14,2.9115869035887214,0.009721519377789102,0.7254504530407321
8,35.0,17,14,2.8663890519928454,0.009743221585037251,0.7218899904009908
39,46.0,17,14,2.813735144681112,0.00982324085667517,0.720812510715306
28,36.0,17,14,2.8878269849972225,0.009888916733034126,0.7217150313072238
1,60.0,17,14,2.9001382940963834,0.009958707855334143,0.7221046573164339
39,53.0,17,14,2.8132628812026717,0.010024107055268378,0.7176724595273871
8,36.0,17,14,2.853821057287242,0.010081344741865958,0.7173996540705293
39,45.0,17,14,2.8006363468019075,0.010111179388246109,0.7170299033547234
61,59.0,17,14,2.850031932070716,0.010117974810749452,0.7167990443043941
8,67.0,17,14,2.815808022412004,0.010122893872120625,0.7161517443510165
8,32.0,17,14,2.832130941893891,0.01024878936614,0.7145900141616905
1,61.0,17,14,2.8857582586233788,0.010264743885255957,0.7178729390583667
61,34.0,17,14,2.8181441216034466,0.010287977929737778,0.7138855918536792
8,37.0,17,14,2.8397944003826625,0.010452893116433154,0.7125553075166801
39,44.0,17,14,2.7845304211704143,0.010467920268905119,0.7124859611780818
8,66.0,17,14,2.794528993910694,0.010554785166623695,0.7105984452967052
28,37.0,17,14,2.856182616557694,0.010670644142638389,0.71143659386762
1,62.0,17,14,2.86725193536705,0.01067168233170268,0.7123852531306161
61,60.0,17,14,2.8226778897331433,0.010753937270375834,0.7084200748342783
8,38.0,17,14,2.8273407360800387,0.010789310278869863,0.7082666390992672
1,38.0,17,14,2.8459703703225263,0.010793063641799836,0.7094455865230551
39,43.0,17,14,2.7665105378247237,0.010870736045473537,0.7075455133068475
28,31.0,17,14,2.804343453828083,0.0108864995444818,0.7062874076085893
8,65.0,17,14,2.7738581702662946,0.010992854261162144,0.7051749909852149
39,36.0,17,14,2.7530613530094925,0.010993917870191031,0.7070565229396085
39,37.0,17,14,2.7507750169314185,0.011032972642544166,0.7066919913742161
8,39.0,17,14,2.8170612222560067,0.011071003764108345,0.7047421205757279
1,63.0,17,14,2.8453994963971248,0.011171731611416828,0.7058470744452094
39,54.0,17,14,2.766339308188625,0.011199396742882589,0.7025926071092689
39,38.0,17,14,2.742612861509854,0.011246830190316979,0.7040733294242499
61,33.0,17,14,2.7701578544099466,0.011250636614242656,0.7017526642746575
39,42.0,17,14,2.749515083095032,0.011250940238469486,0.7030879852541336
39,35.0,17,14,2.7439367178087535,0.011265215665711672,0.7035491678983424
28,45.0,17,14,2.818953879555094,0.011284330061693939,0.7026980078144034
8,40.0,17,14,2.8079471129200386,0.011315656889465729,0.7017122061887912
61,61.0,17,14,2.79867359258036,0.011340075439276221,0.7010066050953302
28,46.0,17,14,2.8118442209495877,0.011341374745530469,0.7016764122389043
8,64.0,17,14,2.7545961251201723,0.011419800761085352,0.7000755753708743
28,38.0,17,14,2.8259819563976736,0.011438544476643202,0.7017542221160392
28,44.0,17,14,2.8159662571251785,0.01146177742674856,0.7007712651923581
39,39.0,17,14,2.734720268052226,0.011480261646910312,0.701123736531596
39,41.0,17,14,2.7371432343125472,0.011516519907514221,0.7001644592975975
8,41.0,17,14,2.7984221847725332,0.011557531605275617,0.6987252112856909
39,40.0,17,14,2.732073423383435,0.011595424993467393,0.6995116160329152
8,31.0,17,14,2.771661753925635,0.011608045134790398,0.6972807465413149
28,47.0,17,14,2.7934076253359432,0.011675266388804508,0.6972642416944703
1,64.0,17,14,2.8226056341114436,0.011717183697948136,0.6989581081101045
28,43.0,17,14,2.806468728956171,0.011788261668809448,0.6970037262512426
8,63.0,17,14,2.738452571851114,0.011793480713567386,0.6957490752012351
8,42.0,17,14,2.7870582295406137,0.01183145953749901,0.6953556031316832
61,62.0,17,14,2.777636600172977,0.01187162854872066,0.6945137295512411
39,34.0,17,14,2.7197994259139286,0.011953056449097098,0.6951999271864533
28,39.0,17,14,2.803165274425806,0.012033655518387585,0.6945127331490968
8,62.0,17,14,2.726680369293822,0.01207911774308782,0.6925100894483096
28,42.0,17,14,2.79568287366151,0.012137280488952875,0.6929962841605423
8,43.0,17,14,2.772835881463639,0.012166545702806638,0.6912830313964907
1,65.0,17,14,2.801990380501219,0.012232821522801078,0.6926644965852484
39,67.0,17,14,2.7256769053000043,0.012276515642325755,0.6898269733120637
28,48.0,17,14,2.7644251584945736,0.012297643210183182,0.6895841875829816
8,61.0,17,14,2.7180156122370955,0.012306567888171,0.6899366896019848
15,35.0,17,14,2.6805741039517796,0.012327149311632497,0.6984211245340962
61,63.0,17,14,2.759330701730078,0.012345438566243417,0.6888966585932527
28,40.0,17,14,2.7907735236900884,0.012350506241943716,0.6907104822372577
1,73.0,17,14,2.7946698670046417,0.012356287573147584,0.6909756230716254
1,74.0,17,14,2.7936954860838643,0.0123629894417925,0.6908366915110953
28,41.0,17,14,2.7890306530809563,0.012365101879749369,0.6904448719917398
1,72.0,17,14,2.792897196093006,0.012420876332228385,0.690268404511009
1,75.0,17,14,2.7904675593943744,0.012430271543896355,0.6899863183341042
39,68.0,17,14,2.718925150798541,0.012482957088093896,0.6874399903449085
1,76.0,17,14,2.7858664730888,0.012537322003597641,0.688682302625801
1,71.0,17,14,2.7885241371287273,0.012551844912154698,0.6887753854224088
39,66.0,17,14,2.715334853959828,0.01255271708376666,0.6867160431555595
1,37.0,17,14,2.7751352902244038,0.012557929670298234,0.6876939972845444
8,44.0,17,14,2.7552207637966046,0.012584158993982,0.6863167103704575
8,60.0,17,14,2.707936865622533,0.012595939108424044,0.6866541846555527
1,66.0,17,14,2.786315422515858,0.012639819827992652,0.6878382779195606
1,77.0,17,14,2.781099558668172,0.012653609948673539,0.6872911889222609
39,55.0,17,14,2.7143402113459416,0.01266142042095747,0.6853390073494545
1,70.0,17,14,2.782612411717278,0.012721320933763802,0.6868337680426907
61,32.0,17,14,2.7064435844791364,0.012728088401205175,0.6849330893656188
1,78.0,17,14,2.7776862223776124,0.012738682869117689,0.6862837185018192
61,64.0,17,14,2.74420644683368,0.012745868780908335,0.6842708808496856
1,79.0,17,14,2.7772256415043377,0.012748787464445218,0.6861599340791747
1,69.0,17,14,2.777132957155227,0.012876934179408158,0.685058000952161
1,67.0,17,14,2.777157791156467,0.012883339457169051,0.6850060648523072
28,30.0,17,14,2.715560174400569,0.012933968754010474,0.6819429281247694
1,68.0,17,14,2.7745549938756167,0.012951501843006977,0.6842148577078284
61,65.0,17,14,2.7329472423815737,0.013053676756539697,0.6807929768504859
8,45.0,17,14,2.734301839188548,0.01309357916470516,0.6804396339244245
8,59.0,17,14,2.690706563783293,0.013110737478613193,0.6809349083672538
39,69.0,17,14,2.6962187313014416,0.013150460403181664,0.6800034005095442
39,33.0,17,14,2.6790177107830724,0.013156450367880945,0.6816139252621771
39,65.0,17,14,2.693489862715768,0.013191828552160504,0.6796355682862432
28,49.0,17,14,2.7266793431476906,0.013205491417398253,0.6790774756137368
61,66.0,17,14,2.725232905863779,0.013278313165308085,0.6783049588485885
61,67.0,17,14,2.71884560598188,0.013483525058128174,0.6760761292413545
8,46.0,17,14,2.7109349728919314,0.013685146199509082,0.6738613030609016
61,68.0,17,14,2.710060318174622,0.013777674249470151,0.6729315052366059
8,58.0,17,14,2.6633397156312606,0.01396206208953397,0.6718529501509531
39,64.0,17,14,2.669324454690739,0.013968682407284787,0.6712949823991854
39,56.0,17,14,2.6700730302701583,0.014077504415659185,0.6699221643083915
39,70.0,17,14,2.6644691751463796,0.014124683671269764,0.6696721460458692
20,39.0,17,14,2.6423619409292654,0.014136771568052875,0.6722465785089293
8,30.0,17,14,2.6762764099069347,0.014197341454799253,0.6683458749696378
61,69.0,17,14,2.6952316381421992,0.014272686980719013,0.6677377632486937
8,47.0,17,14,2.686622733146807,0.014327839497807178,0.666998279109948
20,40.0,17,14,2.634820502795644,0.01435481673789812,0.6702147888502906
28,50.0,17,14,2.6820553808858287,0.014393140924978174,0.66628729245705
20,38.0,17,14,2.628882383952667,0.01457666214942533,0.6678351674228886
39,63.0,17,14,2.6503696964852463,0.014655782153615234,0.6641133089593467
1,36.0,17,14,2.6994922972126765,0.014744831989011612,0.6637443054361744
8,48.0,17,14,2.6629526309907328,0.01497967682103811,0.6603205253669427
39,32.0,17,14,2.620588963143676,0.01502428064491436,0.6624979302284002
61,70.0,17,14,2.6726298586398807,0.015036408614571827,0.6599645721083155
39,57.0,17,14,2.641445640017303,0.015115665258576988,0.6592807047621501
8,57.0,17,14,2.628591877073701,0.015116403719177007,0.6601861323301204
39,62.0,17,14,2.638994812117,0.015142481936166423,0.6590970437042197
39,71.0,17,14,2.6324339711862743,0.015165626365050564,0.6592413146175063
20,41.0,17,14,2.6086757855543317,0.015177448108349437,0.6625150827357069
61,31.0,17,14,2.616793649799886,0.015264035830447189,0.6596705882505376
39,61.0,17,14,2.6329635010504386,0.015456510263850799,0.6558866854533604
8,49.0,17,14,2.640797984258798,0.01561041618284746,0.654116400382008
39,58.0,17,14,2.6286240259676386,0.015647761307498155,0.65399488573935
39,60.0,17,14,2.629016246191874,0.015667311452476722,0.6537716310214599
39,59.0,17,14,2.626472322061765,0.015771225444948002,0.652761859446078
28,51.0,17,14,2.6322677611667817,0.01585472613041244,0.651780992419996
20,37.0,17,14,2.5908614467159503,0.01585748233436936,0.655738026974092
39,72.0,17,14,2.6064433830123193,0.016047350001621188,0.6508699425969214
61,71.0,17,14,2.6435002399284113,0.016055774565125813,0.650027464948991
28,29.0,17,14,2.604278947785436,0.016140662427935493,0.6499625553285632
8,50.0,17,14,2.6199159189489136,0.016218845260037303,0.6483670775352114
8,56.0,17,14,2.59440185724548,0.016355964336543124,0.6483425393886377
39,73.0,17,14,2.587901112794514,0.01667448718371934,0.6452184542469188
20,42.0,17,14,2.564767518174393,0.0166745541968001,0.6493190834165009
8,51.0,17,14,2.5996059783451186,0.01681837566705373,0.64293440112885
60,37.0,17,14,2.6415777038930357,0.017010815929964344,0.6422698964050423
60,36.0,17,14,2.6376083661925467,0.017067172666235947,0.6415973027899319
60,38.0,17,14,2.6401388772644454,0.017125882441149716,0.6413269479433044
39,74.0,17,14,2.573451200187903,0.017129506554791764,0.6413865327037255
61,72.0,17,14,2.6118468494236553,0.017219078673199054,0.6392539428416373
49,60.0,17,14,2.563510055420647,0.017300828180939767,0.6405887151314613
60,39.0,17,14,2.636061453586326,0.017319841154650302,0.6396382817942153
8,55.0,17,14,2.569845651752094,0.01734967897834749,0.6392138723801947
8,52.0,17,14,2.580385150732077,0.017383646125491554,0.6380494330936117
60,35.0,17,14,2.6243331379602006,0.017435012644555752,0.6380569947628375
1,35.0,17,14,2.618815378575497,0.01747480893958634,0.6374651746020155
49,61.0,17,14,2.558234098914225,0.01750932216576759,0.6387574128183491
60,40.0,17,14,2.630191282809818,0.01756912103975349,0.6374424242802218
28,52.0,17,14,2.5791575785698275,0.01757455076427214,0.6361991555045539
39,75.0,17,14,2.557382491095454,0.0176145400414247,0.6375819290022529
49,59.0,17,14,2.551752096139209,0.017716178631386813,0.6371601244956725
8,53.0,17,14,2.5654735809361995,0.017793118202333938,0.6347388911271685
8,54.0,17,14,2.560355042668001,0.017838692970631016,0.6346666047014896
39,31.0,17,14,2.54235413776791,0.01785635514540293,0.6370475916847688
60,41.0,17,14,2.6215528944924906,0.017916513434292933,0.6343819796222125
60,34.0,17,14,2.598067117522804,0.018273592620495147,0.6304265861201634
61,79.0,17,14,2.5808863323583626,0.01828206972835951,0.6298327557624694
61,73.0,17,14,2.5830793184233216,0.018330939571365577,0.6294709344239091
20,36.0,17,14,2.524729867168979,0.01833353752819106,0.6344873750653599
49,62.0,17,14,2.5365544822735657,0.018343069010002353,0.6317822176521254
39,76.0,17,14,2.5347164406908154,0.01834693309689454,0.6320455910985834
