channel,band,n_day,n_night,t_stat,p_value,effect_g,power,mean_day,mean_night,q_value,significant_fdr
0,delta,17,14,-1.4742184953613569,0.16391980642698756,-0.5422869233440278,0.30639865413034195,0.8201832109974346,9.592252258176517,0.7733781459740232,False
0,theta,17,14,-1.5469179778099076,0.14530425652060533,-0.5686851715881622,0.33155284154241305,0.361167987610997,2.501820940430558,0.7733781459740232,False
0,alpha,17,14,-1.203953615746371,0.24639646141299282,-0.4387187815458762,0.21726811109596797,0.2032639876975699,0.41831312648648405,0.8027148725641158,False
0,beta,17,14,0.4248891666937715,0.6742061152841217,0.14636995747756962,0.06780977167085397,0.15442173064625303,0.13761944981051075,0.877582340142555,False
0,gamma,17,14,1.4638073255939619,0.15578999989566056,0.49989276460057364,0.26793838630671885,0.1775600517776873,0.0967632579795236,0.7733781459740232,False
1,delta,17,14,-0.7289448479458739,0.4786375878040996,-0.26795678480324153,0.11085011048163168,0.3168447388959073,0.4892926415548821,0.8281356142478539,False
1,theta,17,14,0.047741633205876245,0.9625316559560617,0.017410907507751625,0.050249502619995154,0.24330168372237115,0.23962356864723083,0.9855584198477346,False
1,alpha,17,14,2.0323220093656746,0.05319968805575658,0.693037822410623,0.4589009419257099,0.20730563691818654,0.14003684138617717,0.7733781459740232,False
1,beta,17,14,1.6260865439361953,0.11911933976945858,0.5495922553531056,0.3132731268761708,0.13993674654175095,0.09044254088635428,0.7733781459740232,False
1,gamma,17,14,2.7338823936443126,0.01375128092736701,0.9175082172027228,0.6905501989783152,0.07475661591647806,0.03784667731186166,0.721942248686768,False
2,delta,17,14,-0.7485678363842637,0.4650035174737317,-0.2725777254820016,0.11301767843353633,0.320289856839406,0.47109105322565104,0.8281356142478539,False
2,theta,17,14,-0.4589527030658468,0.6527071666409168,-0.16747424700390776,0.07338313991704597,0.18911577536678154,0.21815069950369387,0.8750122322373034,False
2,alpha,17,14,1.1619819444869242,0.2547661096319818,0.4031018670366874,0.19067256271673463,0.1428471559557416,0.11966581785006161,0.8027148725641158,False
2,beta,17,14,1.172391063737994,0.2531563992881917,0.39831211911439335,0.18726762073328476,0.12232874189547539,0.08940333347407124,0.8027148725641158,False
2,gamma,17,14,2.366341728689843,0.029495608786541023,0.7943283986575799,0.5666334337773641,0.14926536873286192,0.054556503009632336,0.7733781459740232,False
3,delta,17,14,-0.30716014623789784,0.7616982259789372,-0.11011137357182534,0.06003641242589913,2.5582909417173068,3.405943965474657,0.9254560790776497,False
3,theta,17,14,-0.4389616739817161,0.6659807057344482,-0.15894368087473296,0.07103646001113287,0.9332403992229765,1.377721911243135,0.877582340142555,False
3,alpha,17,14,-0.12535591011449246,0.9015051669212842,-0.04512563690251496,0.05167746337637957,0.3270011017744283,0.3493437272925283,0.9784348108695387,False
3,beta,17,14,0.4808326104242494,0.6350790801870385,0.1636547786085477,0.07231663517563505,0.13339947148574363,0.12125247828129285,0.8749562550485162,False
3,gamma,17,14,1.3533728575209865,0.190472855020699,0.4576032300744879,0.23225834537420195,0.08156683895908244,0.06172590683249317,0.8027148725641158,False
4,delta,17,14,-0.2672925954833595,0.7916628909661274,-0.09548588899148513,0.05753661900542688,0.6985127017674517,0.7603652100733838,0.9410332477521892,False
4,theta,17,14,0.36617147204475237,0.7173445180214435,0.13004677164945455,0.06403048981083097,0.381589714134972,0.35484083500997515,0.9132103448073186,False
4,alpha,17,14,1.0290653826728466,0.31307814581967053,0.3521460841636653,0.15659269620769628,0.2280633966254726,0.19193240422712607,0.8184733809152529,False
4,beta,17,14,0.4660401129455907,0.6459881831181973,0.15765275228471531,0.07069245947488782,0.13361889528420637,0.12113565203564265,0.8750122322373034,False
4,gamma,17,14,1.5808630073309664,0.12721691213854217,0.5381790952840689,0.30256349661281695,0.07472379925488626,0.05659657432630677,0.7733781459740232,False
5,delta,17,14,-0.40620982444265546,0.6893285842255292,-0.14690341479925145,0.06794107143326347,0.39019491237627474,0.4696453442926079,0.8935740906627231,False
5,theta,17,14,0.0764057635334755,0.9399139879245404,0.027601857280358195,0.05062720318396578,0.21526241858979867,0.21101801873040354,0.9855584198477346,False
5,alpha,17,14,1.3540394208453805,0.18755806902255287,0.4633627994805586,0.23694893175743723,0.1391904788231148,0.1115153172050566,0.8027148725641158,False
5,beta,17,14,0.7033337101005029,0.48870848329207495,0.239477538410268,0.09836379624261818,0.10381864182573981,0.09077365733215605,0.8281356142478539,False
5,gamma,17,14,1.8592598432878382,0.07421166886174711,0.637558189979165,0.4006806327181417,0.08615501657304653,0.06154673359177163,0.7733781459740232,False
6,delta,17,14,-0.6583997312694719,0.5211680497230087,-0.24165358386253652,0.09926508363174293,0.26570812852511416,0.365411253021328,0.8281356142478539,False
6,theta,17,14,-0.012434285434070543,0.9902289387896772,-0.004521034632049382,0.05001682079860442,0.19583694542472396,0.19649008092136497,0.9970476059181499,False
6,alpha,17,14,1.189493449406235,0.2447226017311157,0.40837117688538094,0.19446596000318425,0.16141125527781247,0.12702673929149894,0.8027148725641158,False
6,beta,17,14,1.0328169005073506,0.3130817758679986,0.34995369607099935,0.15523370647679396,0.11228745807157449,0.08491182983949548,0.8184733809152529,False
6,gamma,17,14,1.7413000888572967,0.09228195623519742,0.6081529016139068,0.37062700793822084,0.057670673153021206,0.04201572677007272,0.7733781459740232,False
7,delta,17,14,-0.844871080728442,0.4130610478669069,-0.31055129806610243,0.13233770242019352,0.16732067876294016,0.3023754856474394,0.8281356142478539,False
7,theta,17,14,-0.30823322703641143,0.7622686045365024,-0.1127790411679034,0.06053153111243097,0.11475634146155397,0.12846144980507102,0.9254560790776497,False
