channel,freq_hz,n_day,n_night,t_stat,p_value,effect_g,power,mean_day,mean_night,q_value,significant_fdr
0,0.0,17,14,-1.4229855749653333,0.17804050452061077,-0.523499518613398,0.2890433217508009,1.2666215509097714,17.153660347935325,0.46888496040550004,False
0,1.0,17,14,-1.449260273245792,0.1706803938329868,-0.5331383018280773,0.2978878611899742,1.0236932507524399,12.956013715630437,0.4660109598483706,False
0,2.0,17,14,-1.4798408271066816,0.16242911361066345,-0.5443490265856326,0.3083321860463837,0.808098407842407,9.350934026239344,0.46433160045243316,False
0,3.0,17,14,-1.5118102757796386,0.15415015190750003,-0.5560520753844467,0.3194081873440689,0.6287579743974566,6.469809032659771,0.4601687172326185,False
0,4.0,17,14,-1.5395256250019431,0.14723312055136464,-0.566158481858602,0.3291087139315581,0.4880846881650186,4.311193249518516,0.45469051934980254,False
0,5.0,17,14,-1.5545035684786945,0.14352868637418525,-0.5715194179906783,0.33430325185167165,0.3838944969395727,2.7896081481797,0.4538520427582829,False
0,6.0,17,14,-1.5471002963767368,0.14508953097098085,-0.5685267282923278,0.3313993577224815,0.31082329458178476,1.77560046886046,0.4538520427582829,False
0,7.0,17,14,-1.5083517088849254,0.15423875716415814,-0.5537632080981385,0.3172284521360609,0.26186947075761197,1.1308818951635558,0.4601687172326185,False
0,8.0,17,14,-1.4282250809387806,0.17490985998070321,-0.5233502505275087,0.2889073626993103,0.23007945488283077,0.7348033270773645,0.46844098557962865,False
0,9.0,17,14,-1.2924539641707629,0.2155521071452476,-0.4719020812338558,0.24400330165594294,0.20985577318415136,0.49687852447790976,0.5056585780867096,False
0,10.0,17,14,-1.0879953480404532,0.29181408325339214,-0.3949156822147798,0.18487820699241683,0.1974520832876058,0.356298564535624,0.5628510840361756,False
0,11.0,17,14,-0.8193952366347987,0.4223674632616312,-0.29506248316520184,0.1241321835597577,0.19068677960981728,0.27478425749055474,0.6395965811743666,False
0,12.0,17,14,-0.5179674372860148,0.6094251150273913,-0.1848541140421244,0.07856146804043784,0.18824584752344423,0.22880095885096746,0.7529393141879642,False
